file,class,method,variable,usage
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,"FluuzCache/2[com.mitchwood.fluuz.EventManager,com.mitchwood.fluuz.Cache]",proxy,3
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,"FluuzCache/2[com.mitchwood.fluuz.EventManager,com.mitchwood.fluuz.Cache]",eventManager,3
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,"put/2[java.lang.Object,java.lang.Object]",value,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,"put/2[java.lang.Object,java.lang.Object]",key,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,publishClear/1[java.lang.String],cacheName,2
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,"get/2[java.lang.Object,java.util.concurrent.Callable<T>]",valueLoader,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,"get/2[java.lang.Object,java.util.concurrent.Callable<T>]",key,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,"putIfAbsent/2[java.lang.Object,java.lang.Object]",vw,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,"putIfAbsent/2[java.lang.Object,java.lang.Object]",value,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,"putIfAbsent/2[java.lang.Object,java.lang.Object]",key,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\EventManager.java,com.mitchwood.fluuz.EventManager,"evict/2[java.lang.String,java.lang.Object]",name,0
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\EventManager.java,com.mitchwood.fluuz.EventManager,"evict/2[java.lang.String,java.lang.Object]",key,0
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\EventManager.java,com.mitchwood.fluuz.EventManager,register/1[com.mitchwood.fluuz.FluuzCache],fluuzCache,0
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\EventManager.java,com.mitchwood.fluuz.EventManager,evict/1[java.lang.String],name,0
