file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,calculateDayDiff/0,false,47,2,7,3,4,3,9,11,0,5,0,9,0,0,1,1,0,0,0,0,6,0,2,0,0,0,17,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,deleteButtonMouseEntered/1[java.awt.event.MouseEvent],false,397,1,2,1,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,backLabelMouseExited/1[java.awt.event.MouseEvent],false,436,0,1,1,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,sendInformationsToField/0,false,312,0,1,1,0,1,5,5,0,0,0,5,0,0,0,0,0,1,0,2,1,0,0,0,0,0,6,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,updateButtonActionPerformed/1[java.awt.event.ActionEvent],false,372,2,9,1,8,3,15,16,0,2,1,15,7,1,0,0,0,1,2,1,3,0,3,0,0,0,33,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,backLabelMouseClicked/1[java.awt.event.MouseEvent],false,425,1,2,1,1,1,1,5,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,editTableHeader/0,false,40,0,1,1,0,1,3,5,0,1,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,7,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,initComponents/0,false,83,1,3,1,2,2,53,135,0,2,0,53,0,0,0,0,0,0,18,103,15,0,1,9,0,0,57,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,backLabelMouseEntered/1[java.awt.event.MouseEvent],false,431,0,1,1,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,quitButtonActionPerformed/1[java.awt.event.ActionEvent],false,413,0,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,quitButtonMouseEntered/1[java.awt.event.MouseEvent],false,417,1,2,1,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,messageForUnselectedRow/0,false,353,0,2,2,0,2,2,4,0,0,0,2,0,0,0,1,0,0,2,1,0,0,1,0,0,0,9,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,areFieldsEmpty/0,false,360,0,2,2,0,1,3,3,1,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,updateButtonMouseEntered/1[java.awt.event.MouseEvent],false,405,1,2,1,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,main/1[java.lang.String[]],false,444,1,1,0,1,7,9,28,0,0,1,9,0,0,1,0,1,0,1,0,0,0,3,1,0,0,16,9,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],false,155,1,5,0,5,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame$Anonymous9,mouseExited/1[java.awt.event.MouseEvent],false,217,1,6,0,6,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame$Anonymous9,mouseClicked/1[java.awt.event.MouseEvent],false,211,1,2,0,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame$Anonymous9,mouseEntered/1[java.awt.event.MouseEvent],false,214,1,6,0,6,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\projects\ExamCounter\src\DatabaseOperations.java,DatabaseOperations,DatabaseOperations/0,true,26,0,1,1,0,4,5,17,0,2,0,5,0,0,0,0,2,0,3,0,3,1,1,0,0,0,18,1,0,false
C:\projects\ExamCounter\src\DatabaseOperations.java,DatabaseOperations,"addData/2[java.lang.String,java.lang.String]",false,61,1,1,1,0,2,5,10,0,1,2,5,0,0,0,0,1,0,3,0,2,1,1,0,0,0,20,1,0,false
C:\projects\ExamCounter\src\DatabaseOperations.java,DatabaseOperations,getData/0,false,75,2,3,2,1,3,8,18,2,5,0,8,0,0,1,0,1,0,3,0,6,0,2,0,0,0,22,1,0,false
C:\projects\ExamCounter\src\DatabaseOperations.java,DatabaseOperations,deleteData/1[java.lang.String],false,103,1,2,2,0,2,6,11,0,1,1,6,0,0,0,0,1,0,1,1,2,0,1,0,0,0,17,1,0,false
C:\projects\ExamCounter\src\DatabaseOperations.java,DatabaseOperations,main/1[java.lang.String[]],false,136,1,1,0,1,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,0,false
C:\projects\ExamCounter\src\DatabaseOperations.java,DatabaseOperations,createTable/0,false,50,1,2,2,0,2,5,10,0,1,0,5,0,0,0,0,1,0,1,0,2,0,1,0,0,0,24,1,0,false
C:\projects\ExamCounter\src\DatabaseOperations.java,DatabaseOperations,"updateData/3[java.lang.String,java.lang.String,java.lang.String]",false,119,1,1,1,0,2,6,13,0,1,3,6,0,0,0,0,1,0,1,3,2,0,1,0,0,0,18,1,0,false
C:\projects\ExamCounter\src\AddExamFrame.java,AddExamFrame$Anonymous1,mouseExited/1[java.awt.event.MouseEvent],false,57,1,6,0,6,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\projects\ExamCounter\src\AddExamFrame.java,AddExamFrame$Anonymous1,mouseEntered/1[java.awt.event.MouseEvent],false,54,1,6,0,6,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\projects\ExamCounter\src\AddExamFrame.java,AddExamFrame$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],false,81,1,5,0,5,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\projects\ExamCounter\src\AddExamFrame.java,AddExamFrame$Anonymous5,run/0,false,260,1,2,0,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\projects\ExamCounter\src\AddExamFrame.java,AddExamFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,62,1,5,0,5,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\projects\ExamCounter\src\AddExamFrame.java,AddExamFrame$Anonymous3,mouseExited/1[java.awt.event.MouseEvent],false,76,1,6,0,6,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\projects\ExamCounter\src\AddExamFrame.java,AddExamFrame$Anonymous3,mouseEntered/1[java.awt.event.MouseEvent],false,73,1,6,0,6,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
