file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\Billing-System\src\deleteCashier.java,deleteCashier,deleteCashier/0,true,26,0,2,1,1,1,7,44,0,3,0,7,0,0,0,0,0,0,8,36,7,0,0,1,0,0,32,1,0,true
C:\projects\Billing-System\src\searchCashier.java,searchCashier$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,43,1,19,0,19,2,6,11,0,0,1,6,0,0,0,0,0,0,3,0,1,0,1,0,0,0,7,1,0,false
C:\projects\Billing-System\src\Login.java,Login$Anonymous1,run/0,false,47,1,2,0,2,2,5,10,0,1,0,5,0,0,0,0,1,0,1,0,1,0,1,0,0,0,8,1,0,false
C:\projects\Billing-System\src\showStock.java,showStock$Anonymous1,itemStateChanged/1[java.awt.event.ItemEvent],false,65,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\projects\Billing-System\src\deleteProduct.java,deleteProduct$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,43,1,19,0,19,2,6,11,0,0,1,6,0,0,0,0,0,0,3,0,1,0,1,0,0,0,7,1,0,false
C:\projects\Billing-System\src\showStock.java,showStock$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,77,1,19,0,19,1,2,4,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,1,0,false
C:\projects\Billing-System\src\showStock.java,showStock$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],false,87,1,19,0,19,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\projects\Billing-System\src\updateProduct.java,updateProduct$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,102,1,19,0,19,3,9,16,0,0,1,9,0,0,0,0,0,0,6,0,4,0,1,0,0,0,10,1,0,false
C:\projects\Billing-System\src\updateProduct.java,updateProduct$Anonymous1,keyPressed/1[java.awt.event.KeyEvent],false,95,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\projects\Billing-System\src\updateProduct.java,updateProduct$Anonymous1,keyTyped/1[java.awt.event.KeyEvent],false,71,1,1,0,1,7,8,19,0,1,1,8,0,0,0,1,0,0,3,7,2,1,2,0,0,0,8,1,0,false
