file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\cms\src\main\java\org\dew\cms\ws\WSArticoli.java,org.dew.cms.ws.WSArticoli,class,15,21,6,15,1045,1,0,182,446,0.92445046,0.3443137,0.3443137,52,45,50,2,0,0,51,0,0,0,14,14,0,11,3,0,11,0,215,3172,132,57,340,45,37,744,876,1175,254,595,40,0,0,0,405,1,30
C:\projects\cms\src\main\java\org\dew\cms\common\IComune.java,IComune,interface,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,6,0,0,8,0,0,0,0,0,6,0,6,0,6,0,0,0,0,18,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIAutori.java,org.dew.cms.gui.forms.GUIAutori,class,8,11,3,8,46,2,0,76,129,0.78787875,0.22077923,0.2900433,22,0,2,0,20,0,22,0,0,0,6,1,0,1,5,0,1,0,6,275,14,1,8,0,1,33,27,62,3,56,4,2,0,0,129,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\dialogs\DialogHTMLPage.java,org.dew.cms.gui.dialogs.DialogHTMLPage$Anonymous1,anonymous,0,0,0,0,8,1,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,1,1,3,1,1,1,3,6,0,5,6,0,0,0,24,-1,0
C:\projects\cms\src\main\java\org\dew\cms\ws\WSTipiArticolo.java,org.dew.cms.ws.WSTipiArticolo,class,7,10,3,7,89,1,0,53,0,0.25,0.54545456,0.54545456,12,3,12,0,0,0,12,0,0,0,1,1,0,0,1,0,0,0,27,428,16,5,40,31,0,68,18,114,12,76,3,0,0,0,86,1,9
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\dialogs\ComuniLookUpFinder.java,org.dew.cms.gui.dialogs.ComuniLookUpFinder,class,3,4,1,3,9,1,0,15,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,39,1,0,3,0,0,1,10,13,2,10,2,0,0,0,29,1,0
C:\projects\cms\src\main\java\org\dew\cms\util\QueryBuilder.java,org.dew.cms.util.QueryBuilder,class,1,16,15,1,110,1,0,41,231,0.7692307,0.14461538,0.20307693,26,7,23,0,3,0,26,0,0,0,5,1,1,0,4,0,1,0,30,391,28,6,16,0,1,91,47,124,35,68,6,0,0,0,94,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUICategorie.java,org.dew.cms.gui.forms.GUICategorie,class,9,10,1,9,38,2,0,63,82,0.71428573,0.30476192,0.37142858,21,0,2,0,19,0,21,0,0,0,5,1,0,1,4,0,1,0,2,265,16,1,4,0,1,20,15,68,3,63,2,3,0,0,121,1,0
C:\projects\cms\src\main\java\org\dew\cms\common\ITipoArticolo.java,ITipoArticolo,interface,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,6,0,0,0,0,0,4,0,4,0,4,0,0,0,0,15,1,0
C:\projects\cms\src\main\java\org\dew\cms\common\ICategoria.java,ICategoria,interface,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,6,0,0,0,0,0,4,0,4,0,4,0,0,0,0,14,1,0
